Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
02 January 2024,10,APXMIDP ,1640.5,16.66
02 January 2024,10,N2EXMIDP,0,0
02 January 2024,11,APXMIDP ,1473.35,11.71
02 January 2024,11,N2EXMIDP,0,0
02 January 2024,12,APXMIDP ,1873.45,31.42
02 January 2024,12,N2EXMIDP,0,0
02 January 2024,13,APXMIDP ,1928.6,33.62
02 January 2024,13,N2EXMIDP,0,0
02 January 2024,14,APXMIDP ,1891.85,46.71
02 January 2024,14,N2EXMIDP,0,0
02 January 2024,15,APXMIDP ,2081.25,50.87
02 January 2024,15,N2EXMIDP,0,0
02 January 2024,16,APXMIDP ,2040.85,52.47
02 January 2024,16,N2EXMIDP,0,0
02 January 2024,17,APXMIDP ,2521.35,50.41
02 January 2024,17,N2EXMIDP,0,0
02 January 2024,18,APXMIDP ,2595.15,49.32
02 January 2024,18,N2EXMIDP,0,0
02 January 2024,19,APXMIDP ,2675.55,56.37
02 January 2024,19,N2EXMIDP,0,0
02 January 2024,20,APXMIDP ,2662.55,55.39
02 January 2024,20,N2EXMIDP,0,0
02 January 2024,21,APXMIDP ,2051.35,56.68
02 January 2024,21,N2EXMIDP,0,0
02 January 2024,22,APXMIDP ,2646.8,66.05
02 January 2024,22,N2EXMIDP,0,0
02 January 2024,23,APXMIDP ,2542.5,65.33
02 January 2024,23,N2EXMIDP,0,0
02 January 2024,24,APXMIDP ,3270.8,76.54
02 January 2024,24,N2EXMIDP,0,0
02 January 2024,25,APXMIDP ,2935.2,80.93
02 January 2024,25,N2EXMIDP,0,0
02 January 2024,26,APXMIDP ,2934.5,75.65
02 January 2024,26,N2EXMIDP,0,0
02 January 2024,27,APXMIDP ,2868,76.97
02 January 2024,27,N2EXMIDP,0,0
02 January 2024,28,APXMIDP ,2802.1,74.97
02 January 2024,28,N2EXMIDP,0,0
02 January 2024,29,APXMIDP ,2763,77.05
02 January 2024,29,N2EXMIDP,0,0
02 January 2024,30,APXMIDP ,2834.2,78.21
02 January 2024,30,N2EXMIDP,0,0
02 January 2024,31,APXMIDP ,1841.35,66.8
02 January 2024,31,N2EXMIDP,0,0
02 January 2024,32,APXMIDP ,2084.3,73.21
02 January 2024,32,N2EXMIDP,0,0
02 January 2024,33,APXMIDP ,2026.15,73.76
02 January 2024,33,N2EXMIDP,0,0
02 January 2024,34,APXMIDP ,2308,77.03
02 January 2024,34,N2EXMIDP,0,0
02 January 2024,35,APXMIDP ,2177.65,69.8
02 January 2024,35,N2EXMIDP,0,0
02 January 2024,36,APXMIDP ,2414.3,70.61
