Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
02 January 2025,10,APXMIDP ,2822.7,85.23
02 January 2025,10,N2EXMIDP,0,0
02 January 2025,11,APXMIDP ,2661.85,84.69
02 January 2025,11,N2EXMIDP,0,0
02 January 2025,12,APXMIDP ,2379.8,86.89
02 January 2025,12,N2EXMIDP,0,0
02 January 2025,13,APXMIDP ,3057.1,99.51
02 January 2025,13,N2EXMIDP,0,0
02 January 2025,14,APXMIDP ,3967.45,86.53
02 January 2025,14,N2EXMIDP,0,0
02 January 2025,15,APXMIDP ,2672.65,118.11
02 January 2025,15,N2EXMIDP,0,0
02 January 2025,16,APXMIDP ,3158.3,126.67
02 January 2025,16,N2EXMIDP,0,0
02 January 2025,17,APXMIDP ,2166.45,121.62
02 January 2025,17,N2EXMIDP,0,0
02 January 2025,18,APXMIDP ,2457.65,123.01
02 January 2025,18,N2EXMIDP,0,0
02 January 2025,19,APXMIDP ,2156.25,115.3
02 January 2025,19,N2EXMIDP,0,0
02 January 2025,20,APXMIDP ,2275.4,116.89
02 January 2025,20,N2EXMIDP,0,0
02 January 2025,21,APXMIDP ,2113.6,116.21
02 January 2025,21,N2EXMIDP,0,0
02 January 2025,22,APXMIDP ,2339.35,110.05
02 January 2025,22,N2EXMIDP,0,0
02 January 2025,23,APXMIDP ,2551.85,112.43
02 January 2025,23,N2EXMIDP,0,0
02 January 2025,24,APXMIDP ,2604.25,107.5
02 January 2025,24,N2EXMIDP,0,0
02 January 2025,25,APXMIDP ,2896.2,99.14
02 January 2025,25,N2EXMIDP,0,0
02 January 2025,26,APXMIDP ,2537,98.2
02 January 2025,26,N2EXMIDP,0,0
02 January 2025,27,APXMIDP ,2855.55,97.91
02 January 2025,27,N2EXMIDP,0,0
02 January 2025,28,APXMIDP ,2563.65,103.61
02 January 2025,28,N2EXMIDP,0,0
02 January 2025,29,APXMIDP ,2867,110.98
02 January 2025,29,N2EXMIDP,0,0
02 January 2025,30,APXMIDP ,3467.45,109.34
02 January 2025,30,N2EXMIDP,0,0
02 January 2025,31,APXMIDP ,2782.2,116.72
02 January 2025,31,N2EXMIDP,0,0
02 January 2025,32,APXMIDP ,3119.85,124.16
02 January 2025,32,N2EXMIDP,0,0
02 January 2025,33,APXMIDP ,2748.05,127.12
02 January 2025,33,N2EXMIDP,0,0
02 January 2025,34,APXMIDP ,2659.95,133.05
02 January 2025,34,N2EXMIDP,0,0
02 January 2025,35,APXMIDP ,2409.05,135.83
02 January 2025,35,N2EXMIDP,0,0
02 January 2025,36,APXMIDP ,2637.45,137.73
02 January 2025,36,N2EXMIDP,0,0
02 January 2025,37,APXMIDP ,2646,133.87
02 January 2025,37,N2EXMIDP,0,0
02 January 2025,38,APXMIDP ,2635.65,120.56
02 January 2025,38,N2EXMIDP,0,0
02 January 2025,39,APXMIDP ,2786.05,110.16
02 January 2025,39,N2EXMIDP,0,0
02 January 2025,40,APXMIDP ,2683.8,100.34
02 January 2025,40,N2EXMIDP,0,0
02 January 2025,41,APXMIDP ,2883.4,98.15
02 January 2025,41,N2EXMIDP,0,0
02 January 2025,42,APXMIDP ,2760,99.62
02 January 2025,42,N2EXMIDP,0,0
02 January 2025,43,APXMIDP ,2705,101.46
02 January 2025,43,N2EXMIDP,0,0
02 January 2025,44,APXMIDP ,2716.65,101.04
02 January 2025,44,N2EXMIDP,0,0
02 January 2025,45,APXMIDP ,3141.2,100.7
02 January 2025,45,N2EXMIDP,0,0
02 January 2025,46,APXMIDP ,2815.4,97.27
02 January 2025,46,N2EXMIDP,0,0
02 January 2025,47,APXMIDP ,1603.8,90.46
02 January 2025,47,N2EXMIDP,0,0
02 January 2025,48,APXMIDP ,1644.25,77.61
02 January 2025,48,N2EXMIDP,0,0
03 January 2025,1,APXMIDP ,2029.55,77.97
03 January 2025,1,N2EXMIDP,0,0
03 January 2025,2,APXMIDP ,1985.4,79.02
03 January 2025,2,N2EXMIDP,0,0
03 January 2025,3,APXMIDP ,2013.2,77.94
03 January 2025,3,N2EXMIDP,0,0
03 January 2025,4,APXMIDP ,2169.5,75.27
03 January 2025,4,N2EXMIDP,0,0
03 January 2025,5,APXMIDP ,2458.85,72.19
